,id,technique,title,upload_date,duration,view_count,like_count,dislike_count,comment_count,webpage_url,channel_url,Scales,Arpeggios,Ornaments,Repeatednotes,Doublenotes,Octave,Staccato,split,audio_path,Q,A
86,CX4-RAL0TBo,Ornaments,Czerny Op. 599 No. 81,20210410.0,51.0,572.0,9.0,,1.0,https://www.youtube.com/watch?v=CX4-RAL0TBo,https://www.youtube.com/channel/UCheJRZl9bHq4VuRtojq2vsQ,0,0,1,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/CX4-RAL0TBo.wav,Which piano technique stands out the most in this composition?,Ornaments
65,N6HcdKlAzkE_cut,Octave,Etude op.25 no.10 (Frederic Chopin),20210224.0,244.0,2875.0,120.0,,20.0,https://www.youtube.com/watch?v=N6HcdKlAzkE,https://www.youtube.com/channel/UCVeh0C3qa_s5CQmRyMPbqFA,0,0,0,0,0,1,0,train,/data/scratch/acw630/PianoJudge/techniques/N6HcdKlAzkE_cut.wav,What is the primary piano technique used in this track?,Octave
207,Octave_ravel_1,Octave,Octave_ravel_1.wav,,47.40265306122449,,,,,,,0,0,0,0,0,1,0,train,/data/scratch/acw630/PianoJudge/techniques/Octave_ravel_1.wav,What is the most prominent piano technique employed in this track?,Octave
194,Octave_franck_3,Octave,Octave_franck_3.wav,,26.645351473922904,,,,,,,0,0,0,0,0,1,0,train,/data/scratch/acw630/PianoJudge/techniques/Octave_franck_3.wav,What piano technique is most noticeable?,Octave
132,S6Zf7bzha8w,Scales,P 18 - 第45页 G大调的关系小调(e自然小调)音阶及其指法练习 速度 100,20230222.0,100.0,34.0,0.0,,,https://www.youtube.com/watch?v=S6Zf7bzha8w,https://www.youtube.com/channel/UCFo4ZXvP0rtRyyq_Ssn0abA,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/S6Zf7bzha8w.wav,What piano technique is most noticeable?,Scales
31,VnH4b-eYQDc,Doublenotes,"Burgmüller: The Little Party, Op. 100 No. 4 | Cory Hall, pianist-composer",20130621.0,91.0,119748.0,1240.0,,82.0,https://www.youtube.com/watch?v=VnH4b-eYQDc,https://www.youtube.com/channel/UCuHRjYQVbZ1r48LL8MODEtw,0,0,0,0,1,0,0,train,/data/scratch/acw630/PianoJudge/techniques/VnH4b-eYQDc.wav,What is the most prominent piano technique employed in this track?,Doublenotes
12,caR2SSD2JlY,Arpeggios,Czerny:The School of Velocity Op. 299 No. 12,20220827.0,39.0,1777.0,24.0,,2.0,https://www.youtube.com/watch?v=caR2SSD2JlY,https://www.youtube.com/channel/UC4IpL45Vbqc05fnohsOWRJA,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/caR2SSD2JlY.wav,What is the primary piano technique used in this track?,Arpeggios
35,bdYhyPH6jbY,Doublenotes,"Bartók   No  73, Sixths and Triads from Mikrokosmos Vol III",20190308.0,39.0,182.0,3.0,,0.0,https://www.youtube.com/watch?v=bdYhyPH6jbY,https://www.youtube.com/channel/UCwctd7yY7luWFJJJGuDNyWw,0,0,0,0,1,0,0,train,/data/scratch/acw630/PianoJudge/techniques/bdYhyPH6jbY.wav,What is the most prominent piano technique employed in this track?,Doublenotes
28,22svsJ75oZQ,Arpeggios|Staccato,"Czerny - The Art of Finger Dexterity, Op.740, No.47",20210327.0,101.0,6920.0,218.0,,17.0,https://www.youtube.com/watch?v=22svsJ75oZQ,https://www.youtube.com/channel/UC67f0wcSF7r79Fne5NK__sw,0,1,0,0,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/22svsJ75oZQ.wav,What is the most prominent piano technique employed in this track?,Arpeggios
42,etq0pqpSNqQ,Doublenotes,拜厄钢琴基础教程 No70,20171201.0,12.0,2545.0,7.0,,0.0,https://www.youtube.com/watch?v=etq0pqpSNqQ,https://www.youtube.com/channel/UCDxpW90bwh941_tu5_RojRQ,0,0,0,0,1,0,0,train,/data/scratch/acw630/PianoJudge/techniques/etq0pqpSNqQ.wav,What is the most prominent piano technique employed in this track?,Doublenotes
217,Doublenotes|Ornaments_1,Doublenotes|Ornaments,Doublenotes|Ornaments_1.wav,,39.61598639455782,,,,,,,0,0,1,0,1,0,0,train,/data/scratch/acw630/PianoJudge/techniques/Doublenotes|Ornaments_1.wav,What piano technique is most noticeable?,Doublenotes
108,PAKtfkh0C1M_cut6,Repeatednotes|Staccato,Great Pianists' Technique: Repeated Notes,20110829.0,924.0,97505.0,763.0,,77.0,https://www.youtube.com/watch?v=PAKtfkh0C1M,https://www.youtube.com/channel/UCOMf9cfYumvUhav6gzL4ERg,0,0,0,1,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/PAKtfkh0C1M_cut6.wav,Which piano technique stands out the most in this composition?,Repeatednotes
204,Octave_5,Octave,Octave_5.wav,,24.61868480725624,,,,,,,0,0,0,0,0,1,0,train,/data/scratch/acw630/PianoJudge/techniques/Octave_5.wav,Can you identify the dominant piano technique in this track?,Octave
51,rXcSlDXCfR8,Doublenotes,拜厄钢琴基础教程 No69,20171201.0,19.0,1832.0,3.0,,0.0,https://www.youtube.com/watch?v=rXcSlDXCfR8,https://www.youtube.com/channel/UCDxpW90bwh941_tu5_RojRQ,0,0,0,0,1,0,0,train,/data/scratch/acw630/PianoJudge/techniques/rXcSlDXCfR8.wav,What is the most prominent piano technique employed in this track?,Doublenotes
165,t_nxp263oUY,Scales,快樂兒童音樂教室 G大調音階,20150610.0,26.0,113.0,0.0,,,https://www.youtube.com/watch?v=t_nxp263oUY,https://www.youtube.com/channel/UCDAJi_dGpdLs-U_40_fFMtQ,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/t_nxp263oUY.wav,What is the most prominent piano technique employed in this track?,Scales
178,g_jUWqYsNzw_cut,Staccato,"El Albaicín (Iberia, VII) - Albéniz",20150404.0,448.0,98155.0,787.0,,28.0,https://www.youtube.com/watch?v=g_jUWqYsNzw,https://www.youtube.com/channel/UCTsNZsU8D5L6fsWp63XXB9g,0,0,0,0,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/g_jUWqYsNzw_cut.wav,What is the most prominent piano technique employed in this track?,Staccato
76,2xkXy66JGow,Ornaments|Staccato,Czerny Op. 599 No. 95 (2023-07-08),20230709.0,29.0,44.0,4.0,,0.0,https://www.youtube.com/watch?v=2xkXy66JGow,https://www.youtube.com/channel/UCbKzyDuiyAyriJ7zu_STStw,0,0,1,0,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/2xkXy66JGow.wav,What piano technique is most noticeable?,Ornaments
41,4QtkdA_coBQ,Doublenotes,"Practical Method for Beginners, Op  599   91",20200801.0,21.0,117.0,2.0,,0.0,https://www.youtube.com/watch?v=4QtkdA_coBQ,https://www.youtube.com/channel/UC7FjABUySvLg4NZVD0H25_A,0,0,0,0,1,0,0,train,/data/scratch/acw630/PianoJudge/techniques/4QtkdA_coBQ.wav,What is the most prominent piano technique employed in this track?,Doublenotes
136,EDhSoKdU_hY,Scales,"Chromatic Scale On C (Hands Separate)    ~February 4, 2024~ #chromatic #scales #pianopractice #scale",20240205.0,19.0,13.0,0.0,,0.0,https://www.youtube.com/watch?v=EDhSoKdU_hY,https://www.youtube.com/channel/UCkdJNU5qf-10UM4QjQWoIXA,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/EDhSoKdU_hY.wav,Can you identify the dominant piano technique in this track?,Scales
78,dXVXdemjr8o,Ornaments,"Carl Czerny, Op. 599, No. 74",20120909.0,37.0,29910.0,184.0,,14.0,https://www.youtube.com/watch?v=dXVXdemjr8o,https://www.youtube.com/channel/UCsSOLdpj2noIe2ckspOg50g,0,0,1,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/dXVXdemjr8o.wav,Can you identify the dominant piano technique in this track?,Ornaments
156,yCNL6URpwXQ,Scales,E+ Scale #scales #practicingscales #pianotime #practice #piano #emajor #marilyn #fun,20231110.0,13.0,93.0,5.0,,0.0,https://www.youtube.com/watch?v=yCNL6URpwXQ,https://www.youtube.com/channel/UCkdJNU5qf-10UM4QjQWoIXA,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/yCNL6URpwXQ.wav,Which piano technique stands out the most in this composition?,Scales
26,HHRr0akDG-0,Arpeggios,"Béla Bartók, No. 85, Broken Chords",20121105.0,77.0,3775.0,44.0,,1.0,https://www.youtube.com/watch?v=HHRr0akDG-0,https://www.youtube.com/channel/UCsSOLdpj2noIe2ckspOg50g,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/HHRr0akDG-0.wav,What piano technique is most noticeable?,Arpeggios
147,SiXmnSXShdc,Scales,Beyer  Op.101; No.12-15 Elementary Method for the Piano,20200413.0,76.0,81.0,1.0,,0.0,https://www.youtube.com/watch?v=SiXmnSXShdc,https://www.youtube.com/channel/UChQGlAB7klnGt749PaS7tww,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/SiXmnSXShdc.wav,What is the most prominent piano technique employed in this track?,Scales
167,lM6Ecj24-nU,Scales,英國皇家五級 小調音階練習,20180725.0,113.0,88.0,0.0,,0.0,https://www.youtube.com/watch?v=lM6Ecj24-nU,https://www.youtube.com/channel/UC4TngKjiqgBLvy1fJCnCqDA,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/lM6Ecj24-nU.wav,What is the primary piano technique used in this track?,Scales
120,xF493tb8lOc,Repeatednotes|Staccato,Czerny The school of velocity (op.299) Etude 22 in G dur by Pyotr Akulov,20181024.0,57.0,7642.0,181.0,,10.0,https://www.youtube.com/watch?v=xF493tb8lOc,https://www.youtube.com/channel/UCadFuHqKeDF_n68UmIaSLsw,0,0,0,1,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/xF493tb8lOc.wav,What piano technique is most noticeable?,Repeatednotes
0,w1JJaDFGxgU,Arpeggios,【甜蜜變奏曲-琶音練習】課程實錄/小楊流行爵士鋼琴/簡譜教學/新北永和,20220423.0,62.0,212.0,5.0,,0.0,https://www.youtube.com/watch?v=w1JJaDFGxgU,https://www.youtube.com/channel/UCLEAgv2CLjM7Rx0amm_x6Vw,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/w1JJaDFGxgU.wav,What is the primary piano technique used in this track?,Arpeggios
2,Y5CsDc2Cpzo,Doublenotes,"Béla Bartók - Mikrokosmos Book 5 - No. 134 - Studies in Double Notes (a, b & c)",20240120.0,65.0,94.0,3.0,,0.0,https://www.youtube.com/watch?v=Y5CsDc2Cpzo,https://www.youtube.com/channel/UCYMo7tAr2TkkvfR5f5Uyr3w,0,0,0,0,1,0,0,train,/data/scratch/acw630/PianoJudge/techniques/Y5CsDc2Cpzo.wav,What piano technique is most noticeable?,Doublenotes
77,yBDSkjV5_wQ_cut,Ornaments,"Scarlatti: Piano Sonata in A Minor, K. 217",20170825.0,492.0,5517.0,84.0,,1.0,https://www.youtube.com/watch?v=yBDSkjV5_wQ,https://www.youtube.com/channel/UCMg1H0kiWUEMobxvga36isw,0,0,1,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/yBDSkjV5_wQ_cut.wav,Which piano technique stands out the most in this composition?,Ornaments
46,Ri9ne7AV1K0,Doublenotes,"Czerny - The Art of Finger Dexterity Op.740, Book V - No.34",20100303.0,130.0,38162.0,144.0,,7.0,https://www.youtube.com/watch?v=Ri9ne7AV1K0,https://www.youtube.com/channel/UC-W45uERzWmlf5fPHIVUClg,0,0,0,0,1,0,0,train,/data/scratch/acw630/PianoJudge/techniques/Ri9ne7AV1K0.wav,What piano technique is most noticeable?,Doublenotes
104,PAKtfkh0C1M_cut2,Repeatednotes,Great Pianists' Technique: Repeated Notes,20110829.0,924.0,97505.0,763.0,,77.0,https://www.youtube.com/watch?v=PAKtfkh0C1M,https://www.youtube.com/channel/UCOMf9cfYumvUhav6gzL4ERg,0,0,0,1,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/PAKtfkh0C1M_cut2.wav,What is the primary piano technique used in this track?,Repeatednotes
177,93VqAV8YDSY,Staccato,"Ben Lepetit - Béla Bartók Mikrokosmos No. 142, From the Diary of a Fly",20171109.0,68.0,12515.0,178.0,,,https://www.youtube.com/watch?v=93VqAV8YDSY,https://www.youtube.com/channel/UCzqLlLjqeCc_sUAtgrLwP8Q,0,0,0,0,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/93VqAV8YDSY.wav,What is the primary piano technique used in this track?,Staccato
122,6SiPMNU8x4Y,Repeatednotes|Staccato,"Czerny - The Art of Finger Dexterity Op.740, Book V - No.35",20100303.0,97.0,48111.0,377.0,,9.0,https://www.youtube.com/watch?v=6SiPMNU8x4Y,https://www.youtube.com/channel/UC-W45uERzWmlf5fPHIVUClg,0,0,0,1,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/6SiPMNU8x4Y.wav,What piano technique is most noticeable?,Repeatednotes
90,cTii-snuNLc,Ornaments,Ziyu Shao-Czerny:Etude in A major Op.740 no 29,20181018.0,101.0,840.0,18.0,,1.0,https://www.youtube.com/watch?v=cTii-snuNLc,https://www.youtube.com/channel/UCOL8sGqiwJFkF57bF-3EuiA,0,0,1,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/cTii-snuNLc.wav,Which piano technique stands out the most in this composition?,Ornaments
85,nRV1tNXp1E0,Ornaments|Arpeggio,沈文裕演奏车尔尼作品599 第73条,20200731.0,37.0,557.0,12.0,,,https://www.youtube.com/watch?v=nRV1tNXp1E0,https://www.youtube.com/channel/UC9n84_OJhSZzoyjkJQ-KEhA,0,0,1,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/nRV1tNXp1E0.wav,What is the most prominent piano technique employed in this track?,Ornaments
148,nbs5NPKlbAo,Scales|Staccato,英國皇家Abrsm音階練習,20171115.0,54.0,156.0,1.0,,0.0,https://www.youtube.com/watch?v=nbs5NPKlbAo,https://www.youtube.com/channel/UCwfXcY8UacHXLfw_yzjuLyg,1,0,0,0,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/nbs5NPKlbAo.wav,What is the most prominent piano technique employed in this track?,Scales
98,6N6W0PDBRHs,Ornaments,"Burgmüller: La Gracieuse, Op. 100 No. 8 | Cory Hall, pianist-composer",20130703.0,101.0,121598.0,1031.0,,76.0,https://www.youtube.com/watch?v=6N6W0PDBRHs,https://www.youtube.com/channel/UCuHRjYQVbZ1r48LL8MODEtw,0,0,1,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/6N6W0PDBRHs.wav,What is the most prominent piano technique employed in this track?,Ornaments
36,BbVY3PQlpvs,Doublenotes,Czerny Op. 599 24,20190917.0,26.0,139.0,6.0,,,https://www.youtube.com/watch?v=BbVY3PQlpvs,https://www.youtube.com/channel/UCj0d5HBBOd1XLqv86i4XFDw,0,0,0,0,1,0,0,train,/data/scratch/acw630/PianoJudge/techniques/BbVY3PQlpvs.wav,Can you identify the dominant piano technique in this track?,Doublenotes
220,Octave|Doublenotes_2,Octave|Doublenotes,Octave|Doublenotes_2.wav,,30.933333333333334,,,,,,,0,0,0,0,1,1,0,train,/data/scratch/acw630/PianoJudge/techniques/Octave|Doublenotes_2.wav,Which piano technique stands out the most in this composition?,Octave
61,0W_guhYZypI,Octave,Czerny Etude opus 553,20210104.0,84.0,161.0,2.0,,0.0,https://www.youtube.com/watch?v=0W_guhYZypI,https://www.youtube.com/channel/UCCmsKIjmQc_xCxtsxhYSU8A,0,0,0,0,0,1,0,train,/data/scratch/acw630/PianoJudge/techniques/0W_guhYZypI.wav,What is the most prominent piano technique employed in this track?,Octave
22,wZnoYThr2As,Arpeggios,琶音练习,20200516.0,67.0,1226.0,7.0,,1.0,https://www.youtube.com/watch?v=wZnoYThr2As,https://www.youtube.com/channel/UCBaB9X7S3scVmIs2NPVgodA,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/wZnoYThr2As.wav,What is the most prominent piano technique employed in this track?,Arpeggios
209,Doublenotes_5,Doublenotes,Doublenotes_5.wav,,15.018684807256236,,,,,,,0,0,0,0,1,0,0,train,/data/scratch/acw630/PianoJudge/techniques/Doublenotes_5.wav,What is the primary piano technique used in this track?,Doublenotes
212,Octave|Arpeggios_2,Octave|Arpeggios,Octave|Arpeggios_2.wav,,18.83734693877551,,,,,,,0,1,0,0,0,1,0,train,/data/scratch/acw630/PianoJudge/techniques/Octave|Arpeggios_2.wav,Can you identify the dominant piano technique in this track?,Octave
33,qcsNTWUKfmY,Doublenotes,Carl Czerny Op.599 - 42,20180410.0,47.0,143.0,4.0,,0.0,https://www.youtube.com/watch?v=qcsNTWUKfmY,https://www.youtube.com/channel/UCxCsaosvbuH57sF52KePVEg,0,0,0,0,1,0,0,train,/data/scratch/acw630/PianoJudge/techniques/qcsNTWUKfmY.wav,What piano technique is most noticeable?,Doublenotes
11,BYVIhBTElEs,Arpeggios,G- Arpeggio (hands separate) #GMinorArpeggio #pianoscales #shorts #shortstrending #shortvideo,20240130.0,20.0,96.0,3.0,,0.0,https://www.youtube.com/watch?v=BYVIhBTElEs,https://www.youtube.com/channel/UCkdJNU5qf-10UM4QjQWoIXA,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/BYVIhBTElEs.wav,Can you identify the dominant piano technique in this track?,Arpeggios
216,Doublenotes_4,Doublenotes,Doublenotes_4.wav,,18.92265306122449,,,,,,,0,0,0,0,1,0,0,train,/data/scratch/acw630/PianoJudge/techniques/Doublenotes_4.wav,What is the primary piano technique used in this track?,Doublenotes
175,79VIXjBFK_I,Staccato,Béla Bartók - Mikrokosmos Book 2 - No. 65 - Dialogue,20230714.0,37.0,15.0,1.0,,0.0,https://www.youtube.com/watch?v=79VIXjBFK_I,https://www.youtube.com/channel/UCYMo7tAr2TkkvfR5f5Uyr3w,0,0,0,0,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/79VIXjBFK_I.wav,What is the primary piano technique used in this track?,Staccato
6,Sl1Z_dglxlo,Arpeggios,童年的回忆 （琶音练习）,20211108.0,82.0,987.0,13.0,,1.0,https://www.youtube.com/watch?v=Sl1Z_dglxlo,https://www.youtube.com/channel/UCykEvQ7PBYH8RrWbXGdq1zg,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/Sl1Z_dglxlo.wav,What is the most prominent piano technique employed in this track?,Arpeggios
27,te5duc9WAh0,Arpeggios,2016 07 01_E7琶音及倒琶慢速版,20160728.0,16.0,40.0,0.0,,0.0,https://www.youtube.com/watch?v=te5duc9WAh0,https://www.youtube.com/channel/UCgt0BrBoI7RsrcV250EK4Fw,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/te5duc9WAh0.wav,What is the most prominent piano technique employed in this track?,Arpeggios
137,V52WdeAhadQ,Scales,D大調音階 河合拜爾下冊,20210913.0,37.0,122.0,0.0,,0.0,https://www.youtube.com/watch?v=V52WdeAhadQ,https://www.youtube.com/channel/UCAJ8qdINIVVOwNAcHRp6T6Q,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/V52WdeAhadQ.wav,What piano technique is most noticeable?,Scales
213,Octave_franck_2,Octave,Octave_franck_2.wav,,34.88,,,,,,,0,0,0,0,0,1,0,train,/data/scratch/acw630/PianoJudge/techniques/Octave_franck_2.wav,What is the most prominent piano technique employed in this track?,Octave
152,gq1W0DAb6pU,Scales,拜厄钢琴基础教程 Beyer  Scale in D major  D大调音阶,20221128.0,44.0,261.0,8.0,,0.0,https://www.youtube.com/watch?v=gq1W0DAb6pU,https://www.youtube.com/channel/UCIWgLXbZZgMgNGeQbQqkpRA,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/gq1W0DAb6pU.wav,Can you identify the dominant piano technique in this track?,Scales
4,rFh7RwyfgI0,Arpeggios,202207022a小調琶音練習,20221219.0,60.0,86.0,,,,https://www.youtube.com/watch?v=rFh7RwyfgI0,https://www.youtube.com/channel/UCBKUB2kt-balXr9clnf5zaQ,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/rFh7RwyfgI0.wav,What is the most prominent piano technique employed in this track?,Arpeggios
32,5MLsm8mh-0I,Doublenotes,"Carl Czerny, Op 599, 21",20120811.0,34.0,43151.0,237.0,,17.0,https://www.youtube.com/watch?v=5MLsm8mh-0I,https://www.youtube.com/channel/UCsSOLdpj2noIe2ckspOg50g,0,0,0,0,1,0,0,train,/data/scratch/acw630/PianoJudge/techniques/5MLsm8mh-0I.wav,What is the primary piano technique used in this track?,Doublenotes
138,IbN6Hsjn2lg,Scales,巴斯蒂安钢琴教程【第四套技巧分册】16 音阶练习曲,20180114.0,38.0,46.0,0.0,,0.0,https://www.youtube.com/watch?v=IbN6Hsjn2lg,https://www.youtube.com/channel/UCDxpW90bwh941_tu5_RojRQ,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/IbN6Hsjn2lg.wav,Which piano technique stands out the most in this composition?,Scales
192,Ornaments_2,Ornaments,Ornaments_2.wav,,24.0,,,,,,,0,0,1,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/Ornaments_2.wav,What is the primary piano technique used in this track?,Ornaments
161,faAJ3HbGD_g,Scales,英國皇家五級 反向音階練習,20180725.0,44.0,279.0,2.0,,0.0,https://www.youtube.com/watch?v=faAJ3HbGD_g,https://www.youtube.com/channel/UC4TngKjiqgBLvy1fJCnCqDA,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/faAJ3HbGD_g.wav,Which piano technique stands out the most in this composition?,Scales
159,C3G8DUFYQjk,Scales,第一次摸钢琴🎹音阶练习,20200415.0,25.0,52.0,2.0,,0.0,https://www.youtube.com/watch?v=C3G8DUFYQjk,https://www.youtube.com/channel/UCBaB9X7S3scVmIs2NPVgodA,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/C3G8DUFYQjk.wav,What is the primary piano technique used in this track?,Scales
114,-0gQ_A3tP1c,Repeatednotes,三個同音連續,20211203.0,76.0,150.0,3.0,,0.0,https://www.youtube.com/watch?v=-0gQ_A3tP1c,https://www.youtube.com/channel/UCHnp2zMd9K6Flh012MP6EDA,0,0,0,1,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/-0gQ_A3tP1c.wav,What is the primary piano technique used in this track?,Repeatednotes
10,I5rASCtR6Bo,Arpeggios,2016.9 彥羽鋼琴練習~琶音練習曲,20161020.0,46.0,72.0,0.0,,0.0,https://www.youtube.com/watch?v=I5rASCtR6Bo,https://www.youtube.com/channel/UCuIgydAyQQCpYewWa5_8l1g,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/I5rASCtR6Bo.wav,What is the most prominent piano technique employed in this track?,Arpeggios
62,tfzvM9V1mMQ,Octave|Staccato,"Czerny - The Art of Finger Dexterity Op.740, Book V - No.38",20100303.0,108.0,44841.0,221.0,,9.0,https://www.youtube.com/watch?v=tfzvM9V1mMQ,https://www.youtube.com/channel/UC-W45uERzWmlf5fPHIVUClg,0,0,0,0,0,1,1,train,/data/scratch/acw630/PianoJudge/techniques/tfzvM9V1mMQ.wav,What is the primary piano technique used in this track?,Octave
128,31_T8OKn4-w,Scales,英國皇家五級 大調音階練習,20180725.0,109.0,186.0,2.0,,0.0,https://www.youtube.com/watch?v=31_T8OKn4-w,https://www.youtube.com/channel/UC4TngKjiqgBLvy1fJCnCqDA,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/31_T8OKn4-w.wav,Which piano technique stands out the most in this composition?,Scales
199,Arpeggios_1,Arpeggios,Arpeggios_1.wav,,35.733333333333334,,,,,,,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/Arpeggios_1.wav,Which piano technique stands out the most in this composition?,Arpeggios
168,0YyH44KJ2S8,Scales,2014.3.2啟宣鋼琴彈奏徹爾尼半音階練習曲,20140302.0,58.0,513.0,1.0,,0.0,https://www.youtube.com/watch?v=0YyH44KJ2S8,https://www.youtube.com/channel/UCEHsqPvHFIW7ZQaWYjajCQg,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/0YyH44KJ2S8.wav,What piano technique is most noticeable?,Scales
70,McoqNuF6TpQ,Octave,Carl Czerny Op.740 (699) Etude 33 Francesco Libetta ( Very Difficult Etude),20180113.0,87.0,23563.0,508.0,,85.0,https://www.youtube.com/watch?v=McoqNuF6TpQ,https://www.youtube.com/channel/UCCJVEoWCs0yWJOWuuAXcQ5A,0,0,0,0,0,1,0,train,/data/scratch/acw630/PianoJudge/techniques/McoqNuF6TpQ.wav,What is the primary piano technique used in this track?,Octave
171,Pf2gM8XvknA,Staccato|Doublenotes,Béla Bartók - Mikrokosmos Book 3 - No. 82 - Scherzo,20230924.0,28.0,214.0,8.0,,2.0,https://www.youtube.com/watch?v=Pf2gM8XvknA,https://www.youtube.com/channel/UCYMo7tAr2TkkvfR5f5Uyr3w,0,0,0,0,1,0,1,train,/data/scratch/acw630/PianoJudge/techniques/Pf2gM8XvknA.wav,Can you identify the dominant piano technique in this track?,Staccato
64,LBjJQWPAwNw,Octave|Staccato,#pianohobby Czerny - Etude Op.553 No.5,20220114.0,87.0,226.0,,,0.0,https://www.youtube.com/watch?v=LBjJQWPAwNw,https://www.youtube.com/channel/UCM-1zBsXOczejTndthigD6Q,0,0,0,0,0,1,1,train,/data/scratch/acw630/PianoJudge/techniques/LBjJQWPAwNw.wav,What piano technique is most noticeable?,Octave
44,q3TkFQbvr58,Doublenotes|Scales,Third-note scales (G Major) /三度音階 (G大調),20231021.0,17.0,55.0,2.0,,0.0,https://www.youtube.com/watch?v=q3TkFQbvr58,https://www.youtube.com/channel/UCHnp2zMd9K6Flh012MP6EDA,1,0,0,0,1,0,0,train,/data/scratch/acw630/PianoJudge/techniques/q3TkFQbvr58.wav,What is the most prominent piano technique employed in this track?,Doublenotes
144,JrJHc__2jOk,Scales,巴斯蒂安钢琴教程【第四套技巧分册】14 乘自动扶梯,20180114.0,13.0,26.0,0.0,,0.0,https://www.youtube.com/watch?v=JrJHc__2jOk,https://www.youtube.com/channel/UCDxpW90bwh941_tu5_RojRQ,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/JrJHc__2jOk.wav,What is the most prominent piano technique employed in this track?,Scales
40,7qb62i2cO-s,Doublenotes,拜厄钢琴基础教程 No71,20171201.0,13.0,2215.0,5.0,,0.0,https://www.youtube.com/watch?v=7qb62i2cO-s,https://www.youtube.com/channel/UCDxpW90bwh941_tu5_RojRQ,0,0,0,0,1,0,0,train,/data/scratch/acw630/PianoJudge/techniques/7qb62i2cO-s.wav,Can you identify the dominant piano technique in this track?,Doublenotes
123,ZA6RuaHSB8A_cut,Repeatednotes,Czerny - The Art of Finger Dexterity op.740 no.32(Szokolay) HD Music Sheet Video,20221130.0,99.0,1213.0,35.0,,0.0,https://www.youtube.com/watch?v=ZA6RuaHSB8A,https://www.youtube.com/channel/UCmOGMtvO5UPwHXVue1t3MjA,0,0,0,1,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/ZA6RuaHSB8A_cut.wav,What is the most prominent piano technique employed in this track?,Repeatednotes
23,Bei7Hazlwjg,Arpeggios,P. 16 Etude 踏板与琶音组《练习曲》—JOHN THOMPSON'S MODERN COURSE FOR THE PIANO SECOND GRADE,20200529.0,35.0,251.0,5.0,,0.0,https://www.youtube.com/watch?v=Bei7Hazlwjg,https://www.youtube.com/channel/UCpExeoJdDpBR4-qyKjE6qHA,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/Bei7Hazlwjg.wav,Which piano technique stands out the most in this composition?,Arpeggios
